CustomerId,FirstName,LastName,FullName,DateOfBirth,Gender,EMail,EmailSubscriber60352436,Telephone,PostCode,StreetAddress,City,State,Country,CreatedOn,Headshot,LoyaltyTier2147257320,Income,Occupation,CustomerSatisfaction,ContactId,RewardPoints,CreditCard,ecommerce_eCommerceContacts_ContactId,ecommerce_eCommerceContacts_ContactId_Alternate,pos_posCustomer_LoyaltyId,pos_posCustomer_LoyaltyId_Alternate
0037d4e597935b42e890cd5549765f21,Michael,Frink,Michael Frink,1975-04-28T00:00:00.000Z,Male,michael_frink@sellersllc.com,No,223-899-6728x5175,45362,647 Simpson Island Suite 252,St. Louis,Missouri,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MichaelFrink.png,medium,64137.387315232074,Software Engineer,medium,CNTID_3012,53,Yes,CNTID_3012,CNTID_3012,LOYID_3012,LOYID_3012
00491246452312db3336520233564d63,Ruth,Durell,Ruth Durell,1985-08-30T00:00:00.000Z,Female,ruth_durell@robinsonadamsandford.com,No,9061008569,14372,21183 Mayo Forest Suite 448,Long Beach,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RuthDurell.png,medium,20000.0,Software Engineer,low,CNTID_3987,153,Yes,CNTID_3987,CNTID_3987,LOYID_3987,LOYID_3987
006fa6d3eaf8ba299abb5a5f564ad204,Richard,Fragmin,Richard Fragmin,2001-01-25T00:00:00.000Z,Male,richard_fragmin@phamthomas.com,No,597-478-9431x8652,64778,3926 Paul Spurs,Grand Prairie,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RichardFragmin.png,medium,38014.58588308109,Teacher,medium,CNTID_1482,72,Yes,CNTID_1482,CNTID_1482,LOYID_1482,LOYID_1482
007de01e4ed3eb7470c33d40500f427f,Dorothy,Shuster,Dorothy Shuster,2009-10-02T00:00:00.000Z,Female,dorothy_shuster@hesshill.com,Yes,001-287-898-7818x872,92592,24011 Rodriguez Mountain Apt. 477,Knoxville,Tennessee,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DorothyShuster.png,medium,64443.64602001157,Software Engineer,medium,CNTID_3666,145,Yes,CNTID_3666,CNTID_3666,LOYID_3666,LOYID_3666
00a1750f0e3ec06f950ed71ffd438d61,David,Courchine,David Courchine,2018-04-02T00:00:00.000Z,Male,david_courchine@cartersmithandgarza.com,No,995-743-8451x23505,15657,77983 Solis Vista Suite 714,Elizabeth,New Jersey,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DavidCourchine.png,medium,20000.0,Teacher,medium,CNTID_1844,73,Yes,CNTID_1844,CNTID_1844,LOYID_1844,LOYID_1844
00c4966d19ffec944a2a6d401088a73d,Paul,Miran,Miran Paul,2001-01-23T00:00:00.000Z,Male,paul_miran@duarteroberts.com,No,977-281-8285,12186,076 William Pine Apt. 524,Richmond,Virginia,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/PaulMiran.png,medium,116571.00895293568,Software Engineer,medium,CNTID_1785,31,No,CNTID_1785,CNTID_1785,LOYID_1785,LOYID_1785
010c91a39f38d634b1923f1ea0cc7240,James,Burga,Burga James,2009-09-14T00:00:00.000Z,Male,james_burga@littlehinton.com,Yes,001-417-823-9068x4463,49031,835 Rhonda Underpass,McAllen,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/JamesBurga.png,medium,84316.89297019973,Software Engineer,low,CNTID_2848,173,Yes,CNTID_2848,CNTID_2848,LOYID_2848,LOYID_2848
0125ba0a45e80e6bed90fb27f12b79b2,Kevin,Logoleo,Kevie Logoleo,1981-10-30T00:00:00.000Z,Male,kevin_logoleo@wilsonandsons.com,No,981-380-4462x658,82010,82864 Conrad Prairie Apt. 892,Santa Rosa,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/KevinLogoleo.png,high,69555.79267853675,Software Engineer,medium,CNTID_3346,211,No,CNTID_3346,CNTID_3346,LOYID_3346,LOYID_3346
01425e653e92aa697fcad733a8232230,Richard,Engleson,Richard Engleson,2001-06-09T00:00:00.000Z,Male,richard_engleson@woodsshafferandhuerta.com,Yes,(637)385-9932x96388,21477,45894 Warren Course,West Palm Beach,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RichardEngleson.png,medium,128191.33744156301,Software Engineer,high,CNTID_1698,89,Yes,CNTID_1698,CNTID_1698,LOYID_1698,LOYID_1698
014388cff925d54eb861fc4e1e0040d1,Jennifer,Ruiloba,Jennifer Ruiloba,2000-09-12T00:00:00.000Z,Female,jennifer_ruiloba@johnsoninc.com,No,368-553-6488x51498,52831,578 Christine Hills,Clovis,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/JenniferRuiloba.png,medium,76965.62411841213,Software Engineer,low,CNTID_5989,141,Yes,CNTID_5989,CNTID_5989,LOYID_5989,LOYID_5989
0153aa7bf2fcca964d0148e0747605bb,Michael,Dubose,Michael Dubose,1969-09-22T00:00:00.000Z,Male,michael_dubose@hollandsmith.com,No,521-227-4776x7017,85221,414 Frank Park Apt. 309,Richardson,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MichaelDubose.png,medium,74007.43718620852,Teacher,medium,CNTID_1088,236,Yes,CNTID_1088,CNTID_1088,LOYID_1088,LOYID_1088
0160e6bf2fbdb4f1b78d7cac914df1e3,Donald,Wahington,Donald Wahington,1969-07-06T00:00:00.000Z,Male,donald_wahington@gutierrezllc.com,No,(310)204-0461x02692,71031,434 Lisa Plaza Suite 573,Centennial,Colorado,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DonaldWahington.png,low,146372.71562417698,Teacher,medium,CNTID_2213,268,Yes,CNTID_2213,CNTID_2213,LOYID_2213,LOYID_2213
0174f3149afc3845028e048e97413257,Ruth,Saez,Ruth Saez,1975-03-19T00:00:00.000Z,Female,ruth_saez@ortizparkerandwade.com,Yes,(621)352-7830,53977,80357 Reid Haven,Shreveport,Louisiana,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RuthSaez.png,medium,80916.43433592991,Teacher,high,CNTID_3995,123,No,CNTID_3995,CNTID_3995,LOYID_3995,LOYID_3995
020619280e6d468e7b51f213ab1be778,Sarah,Hormuth,Sarah Hormuth,1993-03-13T00:00:00.000Z,Female,sarah_hormuth@howardjohnson.com,Yes,001-988-931-2040x357,19902,6850 Heather Shoals Suite 010,San Diego,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/SarahHormuth.png,high,159302.00809937244,Software Engineer,high,CNTID_3918,218,Yes,CNTID_3918,CNTID_3918,LOYID_3918,LOYID_3918
022b5e1115eed48b156d0e0a4d23ac2a,Brian,Getman,Brian Getxan,1999-02-09T00:00:00.000Z,Male,brian_getman@martinezwellsandhenry.com,No,705-564-6636x3629,42147,665 Brendan Fort Apt. 794,Port St. Lucie,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/BrianGetman.png,medium,112906.88630771295,Software Engineer,high,CNTID_2683,141,Yes,CNTID_2683,CNTID_2683,LOYID_2683,LOYID_2683
02974ed9409a19a256c7fbd2e799c651,George,Inferrera,Inferrera George,1991-05-27T00:00:00.000Z,Male,george_inferrera@harriskellyandwelch.com,No,872-155-6289,53906,1130 Kimberly Squares,Omaha,Nebraska,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/GeorgeInferrera.png,medium,47939.046406292815,Software Engineer,low,CNTID_1550,140,Yes,CNTID_1550,CNTID_1550,LOYID_1550,LOYID_1550
02b7c61656fc3694e0712064bbc6b12f,Edward,Raisch,Raisch Edward,1976-04-20T00:00:00.000Z,Male,edward_raisch@durhamcummingsandibarra.com,No,552.973.1826x7418,76660,27333 Rachel Bridge Apt. 115,Brownsville,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/EdwardRaisch.png,medium,22370.742404748922,Software Engineer,low,CNTID_3398,132,No,CNTID_3398,CNTID_3398,LOYID_3398,LOYID_3398
02d06d32cf879c15a435b437d89286b9,Margaret,Homewood,Homewood Margaret,1995-03-16T00:00:00.000Z,Female,margaret_homewood@davilagroup.com,Yes,001-519-049-9184x5639,33473,08208 Yesenia Estates,Midland,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MargaretHomewood.png,high,20000.0,Software Engineer,high,CNTID_5459,13,No,CNTID_5459,CNTID_5459,LOYID_5459,LOYID_5459
02f3675516ce79071d9712d20daedf6c,Joseph,Dockter,Joseph Dockter,1989-11-02T00:00:00.000Z,Male,joseph_dockter@gibsonmartinez.com,No,414.008.3695,58813,79362 Glenn Course Apt. 644,Greeley,Colorado,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/JosephDockter.png,medium,79318.34391819265,Software Engineer,medium,CNTID_2898,244,Yes,CNTID_2898,CNTID_2898,LOYID_2898,LOYID_2898
03749b151767b97f41905eb56bcb3b4a,Margaret,Aceves,Margarpt Aceves,1979-09-19T00:00:00.000Z,Female,margaret_aceves@duncanrogers.com,No,(103)938-2270x234,91502,1430 Mack Avenue Apt. 198,Tempe,Arizona,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MargaretAceves.png,medium,115062.85261039044,Software Engineer,low,CNTID_4320,296,Yes,CNTID_4320,CNTID_4320,LOYID_4320,LOYID_4320
03772de2bc38f04907cd38a72decab84,Donald,Mihelic,Donald Mihelic,2007-11-26T00:00:00.000Z,Male,donald_mihelic@combselliott.com,Yes,035-142-3643,26358,97638 John Fort,Lexington,Kentucky,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DonaldMihelic.png,medium,57183.57769018756,Teacher,high,CNTID_2068,235,No,CNTID_2068,CNTID_2068,LOYID_2068,LOYID_2068
039e1fbf64433cd0bb7f5f8633ef051a,Dorothy,Market,Dorothy Market,2005-05-06T00:00:00.000Z,Female,dorothy_market@spencerlambandgarcia.com,No,001-718-156-0140x39623,43303,8166 Kayla Oval Suite 967,Cedar Rapids,Iowa,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/DorothyMarket.png,high,20000.0,Software Engineer,medium,CNTID_5400,234,Yes,CNTID_5400,CNTID_5400,LOYID_5400,LOYID_5400
03a8b993631a98eeaa4107266515b1d4,Nancy,Decastro,Nancy Decashro,1972-08-03T00:00:00.000Z,Female,nancy_decastro@carlsonmanningandperez.com,Yes,(448)130-0274x1689,64363,75091 Banks Stream,Carlsbad,California,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/NancyDecastro.png,medium,96722.30519077148,Teacher,medium,CNTID_4873,236,No,CNTID_4873,CNTID_4873,LOYID_4873,LOYID_4873
03bd6f02f9c8b241b3c418c1c818f105,Ronald,Veroba,Veroba Ronald,2013-04-08T00:00:00.000Z,Male,ronald_veroba@ruiztuckerandmontgomery.com,Yes,580.924.6989x48211,37007,3842 Lance Villages,Port St. Lucie,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/RonaldVeroba.png,low,227637.16196581212,Investment Banking,low,CNTID_3165,42,Yes,CNTID_3165,CNTID_3165,LOYID_3165,LOYID_3165
03d827e624c842e9abc10d41b8b37673,Mary,Washum,Mary Washum,1991-12-29T00:00:00.000Z,Female,mary_washum@hornrobinsonandclark.com,Yes,(983)973-5480x4007,29535,2202 Murphy Shoals Suite 712,Orlando,Florida,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/MaryWashum.png,high,57226.604523949456,Software Engineer,high,CNTID_4150,256,Yes,CNTID_4150,CNTID_4150,LOYID_4150,LOYID_4150
0460607032fb5cc32cbd58afc7670caa,Anthony,Zemon,Zemon Anthony,1982-07-11T00:00:00.000Z,Male,anthony_zemon@staffordhollandandwebb.com,Yes,780-411-1384x3982,43825,9394 Warner Lodge,Dallas,Texas,USA,2019-01-31T00:00:00.000Z,https://filestransfer.blob.core.windows.net/demoprofileimage/AnthonyZemon.png,medium,34918.573620611314,Software Engineer,medium,CNTID_1878,223,Yes,CNTID_1878,CNTID_1878,LOYID_1878,LOYID_1878
